index.md -> portal/conditions/ [resolved: portal/conditions/index.md]
answer-guides/post-period-fatigue-guide.md -> ../conditions/womens-lifecycle.md [resolved: conditions/womens-lifecycle.md]
answer-guides/postpartum-recovery-slow-guide.md -> ../conditions/womens-lifecycle.md [resolved: conditions/womens-lifecycle.md]
answer-guides/shorter-than-peers-growth-guide.md -> ../conditions/pediatric-tonic.md [resolved: conditions/pediatric-tonic.md]
answer-guides/shorter-than-peers-growth-guide.md -> ../conditions/anorexia.md [resolved: conditions/anorexia.md]
answer-guides/sleep-and-child-growth-guide.md -> ../conditions/pediatric-tonic.md [resolved: conditions/pediatric-tonic.md]
answer-guides/sleep-palpitations-after-accident-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/sleep-palpitations-after-accident-guide.md -> ../conditions/palpitations.md [resolved: conditions/palpitations.md]
answer-guides/sole-pain-after-standing-guide.md -> ../conditions/plantar-fascia-pain.md [resolved: conditions/plantar-fascia-pain.md]
answer-guides/standing-dizziness-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/stress-pressure-head-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/stress-sugar-craving-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/sudden-anxiety-body-symptoms-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/sudden-anxiety-body-symptoms-guide.md -> ../conditions/globus-sensation.md [resolved: conditions/globus-sensation.md]
answer-guides/thin-low-stamina-child-guide.md -> ../conditions/pediatric-tonic.md [resolved: conditions/pediatric-tonic.md]
answer-guides/thin-low-stamina-child-guide.md -> ../conditions/anorexia.md [resolved: conditions/anorexia.md]
answer-guides/tired-after-small-activity-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/walking-leg-pain-relief-rest-guide.md -> ../conditions/leg-numbness.md [resolved: conditions/leg-numbness.md]
answer-guides/when-child-tonic-guide.md -> ../conditions/pediatric-tonic.md [resolved: conditions/pediatric-tonic.md]
answer-guides/when-child-tonic-guide.md -> ../conditions/anorexia.md [resolved: conditions/anorexia.md]
