entity_id,meridian_code,name_ko,name_zh,meridian,location_ko,location_en,method,needling,category
BL38,BL,부극,浮郄,족태양방광경,"무릎 뒤쪽면, 넙다리두갈래근힘줄(biceps femoris tendon)의 안쪽모서리 바로 안쪽, 오금주름(popliteal crease)에서 위쪽으로 1寸.","On the posterior aspect of the knee, just medial to the biceps femoris tendon, 1 B-cun proximal to the popliteal crease.","무릎을 살짝 굽혔을 때, 넙다리두갈래근힘줄의 안쪽, 委陽(BL39)에서 몸쪽으로 1寸에서 취혈한다.","- 直刺 0.5～1寸

- 斜刺 1～2寸",acupoint
BL39,BL,위양,委陽,족태양방광경,"무릎 뒤가쪽면, 오금주름(popliteal crease) 위에 있으며, 무릎을 살짝 굽혔을 때 현저하게 드러나는 넙다리두갈래근힘줄(biceps femoris tendon)의 안쪽모서리 바로 안쪽에서 취혈함.","On the posterolateral aspect of the knee, just medial to the biceps femoris tendon in the popliteal crease.
Note: The biceps femoris tendon is more prominent when the knee is slightly flexed.",,"- 直刺 0.3～1寸

- 斜刺 1～2寸",acupoint
BL40,BL,위중,委中,족태양방광경,"무릎 뒤쪽면, 오금주름(popliteal crease)의 가운데 위치하며, 넙다리두갈래근힘줄(biceps femoris tendon)과 반힘줄모양근힘줄(semitendinosus tendon) 사이의 오금주름 중점에서 취혈한다.","On the posterior aspect of the knee, at the midpoint of the popliteal crease.",,"- 直刺 0.6～1.5寸

- 急性腰部 捻挫時에는 三稜鍼으로 點刺出血",acupoint
BL41,BL,부분,附分,족태양방광경,"위쪽 등부위, 둘째 등뼈 가시돌기(spinous process of the 2nd thoracic vertebra) 아래모서리와 같은 높이, 뒤정중선(posterior median line)에서 가쪽으로 3寸.","In the upper back region, at the same level as the inferior border of the spinous process of the second thoracic vertebra (T2), 3 B-cun lateral to the posterior median line.
Note: BL41 and BL12 are located at the same level as the inferior border of the spinous process of the second thoracic vertebra (T2).",,"- 直刺 0.3～0.5寸

- 斜刺 0.5～0.8寸 (下斜方)",acupoint
BL42,BL,백호,魄戶,족태양방광경,"위쪽 등부위, 셋째 등뼈 가시돌기 (spinous process of the 3rd thoracic vertebra) 아래모서리와 같은 높이, 뒤정중선(posterior median line)에서 가쪽으로 3寸.","In the upper back region, at the same level as the inferior border of the spinous process of the third thoracic vertebra (T3), 3 B-cun lateral to the posterior median line.
Note: BL42, BL13 and GV12 are located at the same level as the inferior border of the third thoracic vertebra (T3).",,"- 直刺 0.3～0.5寸

- 斜刺 0.5～1寸 (下斜方)",acupoint
BL43,BL,고황,膏肓,족태양방광경,"위쪽 등부위, 넷째 등뼈 가시돌기 (spinous process of the 4th thoracic vertebra) 아래모서리와 같은 높이, 뒤정중선(posterior median line)에서 가쪽으로 3寸.","In the upper back region, at the same level as the inferior border of the spinous process of the fourth thoracic vertebra (T4), 3 B-cun lateral to the posterior median line.
Note: BL43 and BL14 are located at the same level as the inferior border of the spinous process of the fourth thoracic vertebra (T4).",,"- 直刺 0.3～0.5寸

- 斜刺 0.3～0.8寸 (背側에서 前外傍을 향하거나 肩胛骨下를 향해 자입)

- 不宜深刺",acupoint
BL44,BL,신당,神堂,족태양방광경,"위쪽 등부위, 다섯째 등뼈 가시돌기 (spinous process of the 5th thoracic vertebra) 아래모서리와 같은 높이, 뒤정중선(posterior median line)에서 가쪽으로 3寸.","In the upper back region, at the same level as the inferior border of the spinous process of the fifth thoracic vertebra (T5), 3 B-cun lateral to the posterior median line.
Note: BL44, BL15 and GV11 are located at the same level as the inferior border of the spinous process of the fifth thoracic vertebra (T5).",,"- 直刺 0.3～0.5寸

- 斜刺 0.5～0.8寸 (向外斜刺)",acupoint
BL45,BL,의희,譩譆,족태양방광경,"위쪽 등부위, 여섯째 등뼈 가시돌기 (spinous process of the 6th thoracic vertebra) 아래모서리와 같은 높이, 뒤정중선(posterior median line)에서 가쪽으로 3寸.","In the upper back region, at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6), 3 B-cun lateral to the posterior median line.
Note: BL45, BL16 and GV10 are located at the same level as the inferior border of the spinous process of the sixth thoracic vertebra (T6).",,"- 直刺 0.3～0.5寸

- 斜刺 0.5～1寸 (向外斜刺)",acupoint
BL46,BL,격관,膈關,족태양방광경,"위쪽 등부위, 일곱째 등뼈 가시돌기(spinous process of the 7th thoracic vertebra) 아래모서리와 같은 높이, 뒤정중선(posterior median line)에서 가쪽으로 3寸.","In the upper back region, at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7), 3 B-cun lateral to the posterior median line.
Note: BL 46, BL17 and GV9 are located at the same level as the inferior border of the spinous process of the seventh thoracic vertebra (T7).",,"- 直刺 0.3～0.5寸

- 斜刺 0.5～0.8寸 (向下斜刺)",acupoint
BL47,BL,혼문,魂門,족태양방광경,"위쪽 등부위, 아홉째 등뼈 가시돌기 (spinous process of the 9th thoracic vertebra) 아래모서리와 같은 높이, 뒤
정중선(posterior median line)에서 가쪽으로 3寸.","In the upper back region, at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9), 3 B-cun lateral to the posterior median line.
Note: BL47, BL18 and GV8 are located at the same level as the inferior border of the spinous process of the ninth thoracic vertebra (T9).",,"- 直刺 0.3～0.5寸

- 斜刺 0.5～1寸 (向下斜刺)",acupoint
BL48,BL,양강,陽綱,족태양방광경,"위쪽 등부위, 열째 등뼈 가시돌기 (spinous process of the 10th thoracic vertebra) 아래모서리와 같은 높이, 뒤정중선(posterior median line)에서 가쪽으로 3寸.","In the upper back region, at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10), 3 B-cun lateral to the posterior median line.
Note: BL48, BL19 and GV7 are located at the same level as the inferior border of the spinous process of the tenth thoracic vertebra (T10).",,"- 直刺 0.3～0.5寸

- 斜刺 0.5～1寸 (向下斜刺)",acupoint
